Date,Number of requests,Average score
2023-03-01,0,
2023-03-02,0,
2023-03-03,0,
2023-03-04,0,
2023-03-05,0,
2023-03-06,0,
2023-03-07,0,
2023-03-08,0,
2023-03-09,0,
2023-03-10,0,
2023-03-11,0,
2023-03-12,0,
2023-03-13,0,
2023-03-14,0,
2023-03-15,0,
2023-03-16,0,
2023-03-17,0,
2023-03-18,0,
2023-03-19,0,
2023-03-20,0,
2023-03-21,0,
2023-03-22,0,
2023-03-23,0,
2023-03-24,0,
2023-03-25,0,
2023-03-26,0,
2023-03-27,0,
2023-03-28,0,
2023-03-29,0,
2023-03-30,0,
2023-03-31,0,
2023-04-01,0,
2023-04-02,0,
2023-04-03,0,
2023-04-04,0,
2023-04-05,0,
2023-04-06,0,
2023-04-07,0,
2023-04-08,0,
2023-04-09,0,
2023-04-10,0,
2023-04-11,0,
2023-04-12,0,
2023-04-13,0,
2023-04-14,0,
2023-04-15,0,
2023-04-16,0,
2023-04-17,0,
2023-04-18,0,
2023-04-19,0,
2023-04-20,0,
2023-04-21,0,
2023-04-22,0,
2023-04-23,0,
2023-04-24,0,
2023-04-25,0,
2023-04-26,0,
2023-04-27,0,
2023-04-28,0,
2023-04-29,0,
2023-04-30,0,
2023-05-01,0,
2023-05-02,0,
2023-05-03,0,
2023-05-04,0,
2023-05-05,0,
2023-05-06,0,
2023-05-07,0,
2023-05-08,0,
2023-05-09,0,
2023-05-10,0,
2023-05-11,0,
2023-05-12,0,
2023-05-13,0,
2023-05-14,0,
2023-05-15,0,
2023-05-16,0,
2023-05-17,0,
2023-05-18,0,
2023-05-19,0,
2023-05-20,0,
2023-05-21,0,
2023-05-22,0,
2023-05-23,0,
2023-05-24,0,
2023-05-25,0,
2023-05-26,0,
2023-05-27,0,
2023-05-28,0,
2023-05-29,0,
